fpl_code,understat_id,match_method,confidence,verified_by,verified_ts
243298,11296,exact_normalised_name_team,high,,
223541,1433,exact_normalised_name_team,high,,
243016,8379,exact_normalised_name_team,high,,
424876,9788,exact_normalised_name_team,high,,
206915,6665,exact_normalised_name_team,high,,
441266,10697,exact_normalised_name_team,high,,
219168,5232,exact_normalised_name_team,high,,
510663,8995,exact_normalised_name_team,high,,
611922,13692,exact_normalised_name_team,high,,
432720,9077,exact_normalised_name_team,high,,
477424,9790,exact_normalised_name_team,high,,
126184,579,exact_normalised_name_team,high,,
465351,11000,exact_normalised_name_team,high,,
97299,586,exact_normalised_name_team,high,,
477064,10847,exact_normalised_name_team,high,,
472769,11592,exact_normalised_name_team,high,,
438234,8393,exact_normalised_name_team,high,,
209244,6055,exact_normalised_name_team,high,,
248875,8981,exact_normalised_name_team,high,,
91651,2254,exact_normalised_name_team,high,,
433036,11965,exact_normalised_name_team,high,,
223094,8260,exact_normalised_name_team,high,,
204936,1116,exact_normalised_name_team,high,,
590039,14055,exact_normalised_name_team,high,,
494307,13298,exact_normalised_name_team,high,,
446008,6552,exact_normalised_name_team,high,,
209365,7902,exact_normalised_name_team,high,,
221820,10802,exact_normalised_name_team,high,,
230001,10696,exact_normalised_name_team,high,,
596777,11944,exact_normalised_name_team,high,,
95658,1687,exact_normalised_name_team,high,,
106760,1006,exact_normalised_name_team,high,,
550864,10564,exact_normalised_name_team,high,,
547676,13467,exact_normalised_name_team,high,,
606745,13080,exact_normalised_name_team,high,,
222690,10803,exact_normalised_name_team,high,,
184341,7768,exact_normalised_name_team,high,,
516895,11174,exact_normalised_name_team,high,,
547037,13150,exact_normalised_name_team,high,,
458249,8044,exact_normalised_name_team,high,,
485711,11974,exact_normalised_name_team,high,,
465247,14056,exact_normalised_name_team,high,,
576628,14198,exact_normalised_name_team,high,,
576620,14266,exact_normalised_name_team,high,,
519913,14272,exact_normalised_name_team,high,,
232653,8941,exact_normalised_name_team,high,,
216646,5786,exact_normalised_name_team,high,,
98747,5552,exact_normalised_name_team,high,,
